dist_code,month,sector,investment in cr,number_of_employees
15_1,01-May-19,Beverages,1.3,50
21_3,01-May-19,Food Processing,0.76,50
15_1,01-Jun-19,Food Processing,0.24,50
17_3,01-Jun-19,Wood and Leather,1.47,50
17_1,01-Jun-19,Food Processing,2,50
17_2,01-Jun-19,Wood and Leather,1.1,50
15_1,01-Jul-19,Engineering,3.5,50
23_1,01-Jul-19,Pharmaceuticals and Chemicals,0.95,50
17_1,01-Aug-19,Food Processing,4.9,50
23_3,01-Aug-19,Solar and Other Renewable Energy,15,50
23_2,01-Aug-19,Pharmaceuticals and Chemicals,0.15,50
17_2,01-Aug-19,Food Processing,0,50
15_1,01-Sep-19,Paper and Printing,3,50
21_3,01-Sep-19,Textiles,0.37,50
17_2,01-Sep-19,"Fertlizers Organic and Inorganic,Pesticides,Insecticides, and Other Related",2,50
21_2,01-Sep-19,Food Processing,3.71,50
23_3,01-Sep-19,Pharmaceuticals and Chemicals,0.15,50
18_2,01-Oct-19,Food Processing,4.28,50
23_2,01-Oct-19,Granite and Stone Crushing,5.41,50
20_1,01-Oct-19,Food Processing,0.8,50
17_1,01-Nov-19,Plastic and Rubber,0.24,50
17_2,01-Nov-19,Plastic and Rubber,8.74,50
17_2,01-Nov-19,"Cement, Cement & Concrete Products, Fly Ash Bricks",2.25,50
14_1,01-Nov-19,Paper and Printing,0.51,50
14_1,01-Nov-19,Granite and Stone Crushing,4.25,50
15_2,01-Nov-19,R&D,2.75,50
15_2,01-Nov-19,Plastic and Rubber,2.43,50
15_1,01-Nov-19,Food Processing,4.2,50
17_2,01-Dec-19,Engineering,2.84,50
19_2,01-Dec-19,Others,0.1,50
23_3,01-Dec-19,Engineering,1.73,50
15_2,01-Dec-19,Food Processing,0.15,50
21_5,01-Dec-19,Granite and Stone Crushing,1.53,50
17_1,01-Jan-20,Wood and Leather,2.74,50
17_2,01-Jan-20,R&D,4,50
23_3,01-Jan-20,"Fertlizers Organic and Inorganic,Pesticides,Insecticides, and Other Related",3.85,50
17_2,01-Jan-20,Others,0.2,50
17_3,01-Jan-20,Others,1.9,50
16_1,01-Feb-20,Engineering,0.9,50
15_3,01-Feb-20,Pharmaceuticals and Chemicals,4.95,50
18_2,01-Feb-20,Food Processing,12.69,50
23_2,01-Feb-20,Electrical and Electronic Products,1.5,50
21_7,01-Mar-20,Granite and Stone Crushing,0.1,50
17_2,01-Apr-20,Others,5.15,50
15_1,01-Apr-20,Wood and Leather,0.24,50
17_1,01-Jun-20,Engineering,3.77,50
15_1,01-Jun-20,R&D,0.27,50
19_1,01-Jul-20,Textiles,0.1,50
23_3,01-Jul-20,Others,1,50
15_1,01-Jul-20,Pharmaceuticals and Chemicals,0.24,50
14_1,01-Sep-20,R&D,3.63,50
15_1,01-Sep-20,Electrical and Electronic Products,12.01,50
17_2,01-Sep-20,Others,1.91,50
14_5,01-Sep-20,Food Processing,1.11,50
23_1,01-Oct-20,Engineering,0.24,50
21_7,01-Nov-20,Food Processing,5.98,50
15_1,01-Nov-20,Agro based incl Cold Storages,1.55,50
14_1,01-Dec-20,R&D,4.05,50
17_2,01-Jan-21,Food Processing,15.62,50
14_3,01-Jan-21,Textiles,9.99,50
15_1,01-Jan-21,Granite and Stone Crushing,9.22,50
20_1,01-Mar-21,Agro based incl Cold Storages,1.3,50
21_3,01-Mar-21,Food Processing,2.67,50
18_1,01-Mar-21,"Fertlizers Organic and Inorganic,Pesticides,Insecticides, and Other Related",1.15,50
17_2,01-Mar-21,Plastic and Rubber,3.85,50
14_5,01-Apr-21,Textiles,7.56,50
15_2,01-Apr-21,"Cement, Cement & Concrete Products, Fly Ash Bricks",4.25,50
14_1,01-Jun-21,Food Processing,3.44,50
15_2,01-Jul-21,"Cement, Cement & Concrete Products, Fly Ash Bricks",1.74,50
17_2,01-Aug-21,Granite and Stone Crushing,7.97,50
18_2,01-Aug-21,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.05,50
14_2,01-Sep-21,Food Processing,1.44,50
17_2,01-Sep-21,Wood and Leather,4.57,50
17_2,01-Oct-21,Others,12.09,50
14_1,01-Nov-21,Engineering,25.25,50
15_1,01-Nov-21,Engineering,16.71,50
22_1,01-Nov-21,Beverages,75.24,50
19_4,01-Dec-21,Others,0.08,50
21_1,01-Jan-22,Engineering,0.3,50
14_1,01-Jan-22,Wood and Leather,2.2,50
20_4,01-Feb-22,Food Processing,2.12,50
15_2,01-Feb-22,"Cement, Cement & Concrete Products, Fly Ash Bricks",2.34,50
17_1,01-Mar-22,Others,15,50
22_2,01-Apr-22,Paper and Printing,6.3,50
15_1,01-Apr-22,Granite and Stone Crushing,2.69,50
17_2,01-Apr-22,"Fertlizers Organic and Inorganic,Pesticides,Insecticides, and Other Related",1.5,50
17_3,01-Apr-22,Wood and Leather,1,50
17_1,01-May-22,Granite and Stone Crushing,4.92,50
17_2,01-May-22,Electrical and Electronic Products,0.15,50
21_1,01-May-22,Textiles,3.91,50
17_2,01-May-22,Others,9.32,50
15_1,01-May-22,Electrical and Electronic Products,12.18,50
17_2,01-Jun-22,R&D,4.1,50
17_2,01-Jun-22,Wood and Leather,0.9,50
17_1,01-Jun-22,Food Processing,13.56,50
15_2,01-Jun-22,"Cement, Cement & Concrete Products, Fly Ash Bricks",2.15,50
15_3,01-Jun-22,Engineering,17.22,50
17_2,01-Jul-22,Wood and Leather,0.75,50
17_2,01-Jul-22,Food Processing,7.26,50
17_1,01-Jul-22,Engineering,5.4,50
15_2,01-Aug-22,Textiles,41.12,50
14_1,01-Aug-22,Granite and Stone Crushing,6.66,50
23_3,01-Sep-22,Paper and Printing,4.88,50
17_1,01-Sep-22,Electrical and Electronic Products,27,50
17_1,01-Sep-22,Others,15,50
17_1,01-Sep-22,Paper and Printing,3.5,50
18_1,01-Oct-22,Food Processing,3.86,50
14_4,01-Oct-22,Food Processing,2.59,50
17_1,01-Nov-22,Granite and Stone Crushing,4.92,50
14_3,01-Dec-22,Pharmaceuticals and Chemicals,0.85,50
22_2,01-Jan-23,Others,1.77,50
15_1,01-Jan-23,Electrical and Electronic Products,10,50
23_3,01-Jan-23,Paper and Printing,3.77,50
17_3,01-Feb-23,Food Processing,4.05,50
14_5,01-Mar-23,Agro based incl Cold Storages,59.7,50
15_2,01-Mar-23,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.2,50
23_1,01-Jan-20,Food Processing,8.55,49
20_2,01-Feb-20,Food Processing,0.92,49
17_1,01-Sep-20,Food Processing,4.17,49
15_2,01-Nov-20,Electrical and Electronic Products,2.8,49
15_2,01-Dec-20,Paper and Printing,1.24,49
20_2,01-Mar-21,Agro based incl Cold Storages,2.22,49
15_2,01-Jun-21,Others,14.6,49
17_3,01-Aug-21,Agro based incl Cold Storages,2.14,49
15_2,01-Sep-21,R&D,2.8,49
15_2,01-Dec-21,"Cement, Cement & Concrete Products, Fly Ash Bricks",1.14,49
17_2,01-Feb-22,Engineering,2.79,49
17_1,01-Jun-22,Others,5.25,49
20_3,01-Aug-22,Food Processing,1.45,49
20_1,01-Sep-22,Others,3.02,49
17_2,01-Sep-22,R&D,3.72,49
21_2,01-Feb-23,Food Processing,2.32,49
17_1,01-Sep-19,Engineering,7.23,48
20_1,01-Dec-19,Agro based incl Cold Storages,0.93,48
15_2,01-Dec-19,Plastic and Rubber,1.51,48
15_1,01-Feb-20,Paper and Printing,13,48
20_3,01-Sep-21,Food Processing,1.68,48
18_1,01-Nov-21,Food Processing,1.86,48
17_3,01-Feb-22,Food Processing,5.64,48
23_3,01-May-22,Plastic and Rubber,4.48,48
16_1,01-Jul-22,Engineering,21,48
15_1,01-Oct-22,Granite and Stone Crushing,334.19,48
17_1,01-Mar-23,Food Processing,8.53,48
15_1,01-Jul-19,Beverages,5.91,47
15_2,01-Aug-19,Plastic and Rubber,8.64,47
20_1,01-Aug-19,Granite and Stone Crushing,5.9,47
20_1,01-Oct-19,Agro based incl Cold Storages,1,47
20_1,01-Jun-20,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.9,47
17_2,01-Jul-20,"Cement, Cement & Concrete Products, Fly Ash Bricks",3.15,47
18_1,01-Oct-20,Food Processing,2.03,47
18_1,01-Jan-21,Food Processing,1.06,47
23_1,01-Apr-21,Agro based incl Cold Storages,2.35,47
16_1,01-Jun-21,Engineering,0.24,47
14_3,01-Mar-22,Food Processing,6.76,47
17_1,01-Nov-22,Engineering,8.91,47
18_2,01-Feb-23,Food Processing,3.35,47
15_2,01-May-19,Plastic and Rubber,4.82,46
20_3,01-May-19,Granite and Stone Crushing,1.25,46
15_2,01-Dec-19,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.49,46
20_1,01-Jan-20,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.72,46
15_3,01-Sep-20,Pharmaceuticals and Chemicals,1.25,46
20_1,01-Oct-20,Food Processing,0.93,46
21_2,01-Dec-20,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.92,46
18_2,01-Mar-21,Agro based incl Cold Storages,2.33,46
23_2,01-Nov-21,Food Processing,8.3,46
22_1,01-Mar-22,Food Processing,10.36,46
20_3,01-Apr-22,Food Processing,3.35,46
14_3,01-Nov-22,Food Processing,3.03,46
21_1,01-Feb-23,Others,1.25,46
20_1,01-Apr-19,Granite and Stone Crushing,4.7,45
17_2,01-May-19,Others,57.81,45
19_3,01-May-19,Agro based incl Cold Storages,1,45
22_2,01-Sep-19,Paper and Printing,4.57,45
20_3,01-Sep-19,Textiles,0.75,45
18_1,01-Oct-19,Food Processing,8.14,45
20_3,01-Oct-19,Food Processing,0.55,45
22_1,01-Nov-19,Pharmaceuticals and Chemicals,3.6,45
23_3,01-Nov-19,Food Processing,0.15,45
23_3,01-Nov-19,Pharmaceuticals and Chemicals,2.43,45
20_1,01-Jan-20,Granite and Stone Crushing,3.39,45
14_1,01-Jan-20,Textiles,2.5,45
17_2,01-Mar-20,Textiles,2.84,45
17_1,01-Apr-20,Food Processing,2.23,45
15_3,01-Jun-20,Textiles,2.7,45
23_3,01-Jun-20,Solar and Other Renewable Energy,746,45
15_2,01-Jul-20,Plastic and Rubber,2.69,45
17_3,01-Aug-20,Pharmaceuticals and Chemicals,25.7,45
17_2,01-Nov-20,Paper and Printing,12.32,45
21_2,01-Feb-21,"Cement, Cement & Concrete Products, Fly Ash Bricks",1.84,45
17_2,01-Feb-21,Food Processing,5.16,45
15_3,01-Mar-21,Food Processing,3.54,45
15_1,01-Apr-21,Engineering,1.1,45
14_1,01-Jul-21,"Cement, Cement & Concrete Products, Fly Ash Bricks",17.72,45
17_1,01-Jul-21,Agro based incl Cold Storages,2.02,45
22_1,01-Jul-21,Food Processing,1,45
20_1,01-Sep-21,Granite and Stone Crushing,1.49,45
15_2,01-Oct-21,Pharmaceuticals and Chemicals,2.12,45
14_4,01-Oct-21,Food Processing,4.54,45
17_1,01-Oct-21,Engineering,7.91,45
17_2,01-Nov-21,Paper and Printing,8.35,45
14_5,01-Nov-21,Food Processing,4.8,45
23_3,01-Nov-21,Plastic and Rubber,4.87,45
17_2,01-Jan-22,Food Processing,4.6,45
20_1,01-Jan-22,Food Processing,1.98,45
20_1,01-Feb-22,Others,2.45,45
15_1,01-Mar-22,Others,1.16,45
15_1,01-Mar-22,Electrical and Electronic Products,15.44,45
17_2,01-Apr-22,Granite and Stone Crushing,8.25,45
14_1,01-Apr-22,Solar and Other Renewable Energy,590.65,45
15_2,01-May-22,Others,3.5,45
22_2,01-May-22,Engineering,0.95,45
22_1,01-Jun-22,Granite and Stone Crushing,8.62,45
17_2,01-Jun-22,Pharmaceuticals and Chemicals,3.75,45
15_1,01-Aug-22,"Cement, Cement & Concrete Products, Fly Ash Bricks",1.94,45
23_3,01-Aug-22,"Cement, Cement & Concrete Products, Fly Ash Bricks",4.88,45
15_1,01-Aug-22,Paper and Printing,10.57,45
14_1,01-Sep-22,Wood and Leather,7.73,45
17_3,01-Sep-22,Plastic and Rubber,4.81,45
17_2,01-Oct-22,Food Processing,9.53,45
17_2,01-Dec-22,Engineering,4.15,45
15_2,01-Dec-22,R&D,14.27,45
17_1,01-Jan-23,Pharmaceuticals and Chemicals,8.94,45
20_1,01-Jan-23,Granite and Stone Crushing,1.47,45
15_3,01-Mar-23,Food Processing,1.8,45
17_2,01-Mar-23,Textiles,2.65,45
16_1,01-Aug-19,Engineering,0.25,44
21_5,01-Dec-19,Food Processing,2.47,44
15_2,01-Jun-20,Pharmaceuticals and Chemicals,3.5,44
15_2,01-Jul-20,Electrical and Electronic Products,2.11,44
19_3,01-Jul-20,Plastic and Rubber,1.8,44
14_4,01-Jul-20,Food Processing,4.23,44
19_4,01-Feb-21,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.79,44
15_2,01-May-21,Plastic and Rubber,1.73,44
15_3,01-Sep-21,Engineering,0.54,44
15_3,01-Dec-21,Food Processing,2,44
22_2,01-Mar-22,Paper and Printing,13.64,44
15_2,01-Apr-22,Paper and Printing,1.52,44
18_1,01-Aug-22,Food Processing,3.97,44
20_1,01-Aug-22,Others,2.56,44
21_3,01-Nov-22,Food Processing,3.6,44
18_2,01-May-19,Food Processing,5.33,43
20_4,01-Nov-19,Food Processing,0.47,43
18_1,01-Feb-20,Food Processing,3.66,43
21_2,01-Mar-20,Granite and Stone Crushing,4.51,43
15_2,01-Nov-20,Plastic and Rubber,1.21,43
21_3,01-Dec-20,Food Processing,2.03,43
20_2,01-Feb-21,Food Processing,7.31,43
18_1,01-Mar-21,Agro based incl Cold Storages,2.49,43
20_2,01-Jul-21,Agro based incl Cold Storages,1.95,43
20_4,01-Oct-21,Food Processing,0.48,43
20_2,01-Dec-21,Food Processing,2.04,43
23_3,01-Jan-22,Plastic and Rubber,6.42,43
17_2,01-Mar-22,Paper and Printing,2.23,43
14_5,01-Aug-22,Food Processing,6.2,43
20_3,01-Aug-19,Agro based incl Cold Storages,0.75,42
22_1,01-Jan-20,Agro based incl Cold Storages,3.54,42
20_2,01-Jun-20,Food Processing,1.96,42
17_3,01-Aug-20,R&D,2.28,42
23_1,01-Sep-20,Food Processing,6.58,42
20_3,01-Sep-20,Agro based incl Cold Storages,0.8,42
22_1,01-Oct-20,"Cement, Cement & Concrete Products, Fly Ash Bricks",1.07,42
18_2,01-Oct-20,Food Processing,3.19,42
17_1,01-Jan-21,Engineering,3.71,42
20_1,01-Feb-21,Food Processing,2.55,42
21_2,01-Mar-21,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.74,42
14_1,01-May-21,Agro based incl Cold Storages,1.87,42
17_2,01-May-21,Beverages,1.49,42
20_4,01-Aug-21,Food Processing,3.32,42
17_1,01-Sep-21,Engineering,2.06,42
14_3,01-Jan-22,Food Processing,5.82,42
15_1,01-Mar-22,"Cement, Cement & Concrete Products, Fly Ash Bricks",1.03,42
23_3,01-Apr-22,Engineering,2.45,42
17_1,01-Jan-23,Engineering,6.04,42
20_1,01-Mar-23,Food Processing,2.15,42
17_2,01-Apr-19,Granite and Stone Crushing,4.35,41
15_1,01-Apr-19,"Cement, Cement & Concrete Products, Fly Ash Bricks",3.8,41
20_1,01-Jul-19,Agro based incl Cold Storages,2.4,41
18_1,01-Sep-19,Food Processing,0.95,41
15_2,01-Nov-19,Food Processing,5.23,41
22_1,01-Feb-20,Granite and Stone Crushing,4.77,41
20_1,01-Aug-20,Agro based incl Cold Storages,0.79,41
19_3,01-Jan-21,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.88,41
23_1,01-Jul-21,Agro based incl Cold Storages,3.81,41
17_2,01-Jul-22,Granite and Stone Crushing,6,41
15_2,01-Nov-22,Pharmaceuticals and Chemicals,15.4,41
22_1,01-Feb-23,"Cement, Cement & Concrete Products, Fly Ash Bricks",3.74,41
17_2,01-May-19,"Cement, Cement & Concrete Products, Fly Ash Bricks",4.69,40
17_3,01-May-19,R&D,4.8,40
15_1,01-Jul-19,Wood and Leather,0.95,40
23_3,01-Jul-19,"Fertlizers Organic and Inorganic,Pesticides,Insecticides, and Other Related",4.5,40
21_2,01-Aug-19,Textiles,1.9,40
17_3,01-Sep-19,R&D,4.21,40
20_1,01-Nov-19,Granite and Stone Crushing,1.23,40
15_1,01-Nov-19,Electrical and Electronic Products,0.24,40
14_1,01-Feb-20,Others,3.38,40
17_2,01-Feb-20,Textiles,4,40
15_1,01-Feb-20,Plastic and Rubber,10.15,40
20_3,01-Feb-20,Granite and Stone Crushing,0.5,40
19_3,01-Mar-20,Granite and Stone Crushing,2.39,40
23_3,01-Mar-20,Engineering,0.45,40
20_1,01-Mar-20,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.98,40
14_4,01-Jun-20,Food Processing,7.31,40
22_1,01-Jun-20,Agro based incl Cold Storages,7.67,40
20_4,01-Jun-20,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.92,40
23_2,01-Jun-20,Granite and Stone Crushing,2.65,40
23_3,01-Jul-20,Engineering,0.45,40
23_1,01-Jul-20,Plastic and Rubber,30.11,40
20_3,01-Jul-20,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.78,40
17_2,01-Jul-20,Others,16.48,40
17_2,01-Jul-20,Textiles,4.18,40
17_2,01-Aug-20,Food Processing,4,40
21_2,01-Aug-20,Textiles,1.62,40
15_2,01-Sep-20,Pharmaceuticals and Chemicals,1.47,40
21_3,01-Sep-20,Granite and Stone Crushing,2.36,40
20_2,01-Sep-20,"Cement, Cement & Concrete Products, Fly Ash Bricks",1.29,40
22_1,01-Oct-20,Textiles,1.74,40
14_1,01-Nov-20,Solar and Other Renewable Energy,595.8,40
17_1,01-Nov-20,Solar and Other Renewable Energy,250.55,40
15_1,01-Nov-20,Granite and Stone Crushing,0.48,40
15_3,01-Dec-20,Engineering,2.51,40
14_2,01-Dec-20,Food Processing,1.27,40
18_2,01-Jan-21,Food Processing,4.65,40
20_1,01-Feb-21,Agro based incl Cold Storages,0.96,40
17_1,01-Mar-21,Plastic and Rubber,1.53,40
20_3,01-Mar-21,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.75,40
15_2,01-Mar-21,Plastic and Rubber,1.73,40
15_2,01-Mar-21,Electrical and Electronic Products,1.72,40
20_2,01-Apr-21,Agro based incl Cold Storages,1.82,40
15_1,01-Apr-21,Food Processing,5.24,40
23_3,01-Apr-21,Food Processing,0.65,40
23_3,01-Apr-21,Solar and Other Renewable Energy,1.12,40
14_1,01-May-21,Plastic and Rubber,1.99,40
14_3,01-May-21,Textiles,15.79,40
23_3,01-May-21,Engineering,4.2,40
17_2,01-May-21,Electrical and Electronic Products,2.73,40
14_3,01-Jun-21,Food Processing,1.9,40
15_2,01-Jun-21,Beverages,2.64,40
23_1,01-Jun-21,Food Processing,2.9,40
22_2,01-Jun-21,Agro based incl Cold Storages,0.41,40
19_3,01-Jul-21,Food Processing,1.33,40
14_5,01-Jul-21,Textiles,8.74,40
17_2,01-Sep-21,Solar and Other Renewable Energy,4.34,40
20_2,01-Sep-21,Agro based incl Cold Storages,1.99,40
15_1,01-Sep-21,Agro based incl Cold Storages,2.86,40
15_3,01-Oct-21,Food Processing,1.39,40
15_1,01-Nov-21,Electrical and Electronic Products,2.01,40
20_1,01-Nov-21,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.36,40
17_3,01-Nov-21,Food Processing,1.85,40
19_2,01-Dec-21,Food Processing,5.82,40
15_1,01-Jan-22,Pharmaceuticals and Chemicals,2,40
15_1,01-Jan-22,Granite and Stone Crushing,2.65,40
14_4,01-Feb-22,Food Processing,4.01,40
22_1,01-Mar-22,Engineering,0.3,40
14_4,01-Apr-22,Food Processing,2.71,40
19_3,01-Apr-22,Textiles,1.11,40
17_1,01-Apr-22,Pharmaceuticals and Chemicals,2.36,40
18_1,01-Apr-22,Food Processing,2.63,40
14_3,01-May-22,Food Processing,1.86,40
17_1,01-May-22,Engineering,3.66,40
17_3,01-May-22,R&D,6.2,40
17_2,01-Jun-22,Electrical and Electronic Products,3,40
17_3,01-Jun-22,Pharmaceuticals and Chemicals,4,40
15_3,01-Aug-22,Food Processing,2.54,40
17_1,01-Aug-22,Electrical and Electronic Products,6.6,40
17_2,01-Aug-22,Paper and Printing,9.79,40
23_3,01-Sep-22,Electrical and Electronic Products,8.3,40
14_1,01-Sep-22,Pharmaceuticals and Chemicals,5.9,40
21_5,01-Dec-22,Food Processing,43.03,40
23_3,01-Dec-22,Paper and Printing,5.67,40
21_3,01-Feb-23,Beverages,9.5,40
20_1,01-Feb-23,Granite and Stone Crushing,0.75,40
14_5,01-Mar-23,Food Processing,5.83,40
21_1,01-Mar-23,Textiles,1.9,40
16_1,01-Mar-23,Engineering,0.48,40
14_1,01-Mar-23,Engineering,2.53,40
18_1,01-Mar-23,Food Processing,5.96,40
15_2,01-Apr-19,Electrical and Electronic Products,14.95,39
17_3,01-Jul-19,"Cement, Cement & Concrete Products, Fly Ash Bricks",3.52,39
20_1,01-Aug-19,Agro based incl Cold Storages,1.23,39
15_2,01-Oct-19,"Fertlizers Organic and Inorganic,Pesticides,Insecticides, and Other Related",1.62,39
20_3,01-Nov-19,Agro based incl Cold Storages,0.73,39
19_3,01-Jan-20,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.9,39
22_1,01-Feb-20,Food Processing,0.57,39
22_1,01-Mar-20,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.82,39
22_1,01-Nov-20,"Cement, Cement & Concrete Products, Fly Ash Bricks",1.01,39
15_2,01-Nov-20,"Cement, Cement & Concrete Products, Fly Ash Bricks",1.13,39
23_3,01-Dec-20,Engineering,1.98,39
21_3,01-Jul-21,Granite and Stone Crushing,2.91,39
23_3,01-Jul-21,Engineering,2.71,39
23_2,01-Aug-21,Engineering,2.04,39
19_3,01-Sep-21,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.71,39
17_2,01-Oct-21,R&D,2.75,39
21_2,01-Dec-21,Food Processing,2.28,39
22_1,01-May-22,Food Processing,7.6,39
15_3,01-Sep-22,Food Processing,1.49,39
20_2,01-Oct-22,Food Processing,1.29,39
23_3,01-Oct-22,Pharmaceuticals and Chemicals,5.73,39
20_1,01-Jan-23,Food Processing,1.67,39
17_2,01-Feb-23,Plastic and Rubber,4.25,39
15_2,01-Feb-23,Plastic and Rubber,7.5,39
15_1,01-Mar-23,Textiles,18.3,39
21_2,01-Nov-19,Granite and Stone Crushing,1.07,38
14_1,01-Nov-19,Plastic and Rubber,2.56,38
20_3,01-Nov-19,Textiles,0.87,38
15_2,01-Dec-19,Electrical and Electronic Products,3.05,38
15_2,01-Jan-20,Agro based incl Cold Storages,0.49,38
20_2,01-Mar-20,Food Processing,0.65,38
20_1,01-Jun-20,Agro based incl Cold Storages,0.88,38
20_1,01-Jul-20,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.73,38
23_3,01-Sep-20,Textiles,6.05,38
18_2,01-Sep-20,Food Processing,3.88,38
15_2,01-Sep-20,Electrical and Electronic Products,1.49,38
23_1,01-Oct-20,Food Processing,14.9,38
20_1,01-Oct-20,Agro based incl Cold Storages,0.96,38
20_2,01-May-21,Food Processing,2.93,38
17_3,01-Sep-21,Pharmaceuticals and Chemicals,2.91,38
21_3,01-May-22,Food Processing,3.91,38
23_3,01-Oct-22,Food Processing,4.13,38
20_3,01-Nov-22,Food Processing,2.9,38
17_1,01-Nov-22,Food Processing,16.02,38
17_2,01-Jan-23,Engineering,8.29,38
21_2,01-Jun-20,Agro based incl Cold Storages,1.65,37
20_2,01-Jul-20,Agro based incl Cold Storages,1.05,37
20_3,01-Jul-20,Food Processing,0.78,37
23_3,01-Aug-20,Engineering,3.03,37
20_1,01-Sep-20,Granite and Stone Crushing,1.13,37
22_1,01-Oct-20,Agro based incl Cold Storages,3.4,37
14_1,01-Oct-20,Plastic and Rubber,9.04,37
22_1,01-Nov-20,Granite and Stone Crushing,3.1,37
15_1,01-Jan-21,Pharmaceuticals and Chemicals,0.64,37
20_2,01-Mar-21,Food Processing,1.61,37
23_1,01-Aug-21,Food Processing,3.07,37
15_3,01-Aug-21,Food Processing,0.46,37
15_2,01-Aug-21,R&D,3.15,37
22_2,01-Nov-21,"Cement, Cement & Concrete Products, Fly Ash Bricks",6.42,37
14_2,01-Nov-21,Textiles,1.8,37
17_2,01-Dec-21,"Cement, Cement & Concrete Products, Fly Ash Bricks",1.93,37
20_1,01-Jul-22,Food Processing,0.8,37
22_1,01-Oct-19,Granite and Stone Crushing,0.6,36
22_1,01-Nov-19,Food Processing,0.94,36
22_1,01-Sep-20,Agro based incl Cold Storages,1.47,36
15_1,01-Dec-20,Engineering,2.16,36
20_1,01-Dec-20,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.85,36
22_1,01-Jan-21,Granite and Stone Crushing,2.48,36
17_3,01-Aug-21,Food Processing,1.21,36
20_2,01-Oct-21,Food Processing,1.72,36
23_3,01-Mar-22,Plastic and Rubber,3.87,36
22_1,01-Apr-22,Others,3.77,36
21_1,01-Sep-22,Engineering,1.2,36
14_3,01-Oct-22,Food Processing,4.63,36
21_3,01-Feb-23,Food Processing,7.32,36
17_1,01-May-19,Engineering,4.39,35
15_1,01-Jun-19,Engineering,1.28,35
15_2,01-Jun-19,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.8,35
23_1,01-Jul-19,Food Processing,0.83,35
15_2,01-Aug-19,Electrical and Electronic Products,5.35,35
20_1,01-Sep-19,Food Processing,0.83,35
17_2,01-Nov-19,R&D,2.42,35
20_3,01-Nov-19,Food Processing,0.35,35
17_3,01-Dec-19,Pharmaceuticals and Chemicals,3.13,35
18_2,01-Dec-19,Food Processing,4.78,35
20_3,01-Dec-19,Granite and Stone Crushing,0.47,35
20_3,01-Jan-20,Textiles,0.57,35
20_1,01-Jan-20,Textiles,0.48,35
15_1,01-Jan-20,Granite and Stone Crushing,0.49,35
17_2,01-Jan-20,Granite and Stone Crushing,3.66,35
18_2,01-Feb-20,Agro based incl Cold Storages,5.51,35
20_3,01-Feb-20,Food Processing,0.49,35
17_2,01-Apr-20,Engineering,7.06,35
14_1,01-May-20,Agro based incl Cold Storages,7.25,35
15_2,01-Jun-20,Paper and Printing,2.43,35
22_1,01-Jun-20,Food Processing,7.09,35
17_1,01-Aug-20,Food Processing,10.32,35
21_2,01-Sep-20,Paper and Printing,0.2,35
23_2,01-Nov-20,Granite and Stone Crushing,2.3,35
22_1,01-Nov-20,Agro based incl Cold Storages,2.28,35
17_3,01-Nov-20,Agro based incl Cold Storages,1.12,35
17_3,01-Dec-20,Plastic and Rubber,4.75,35
20_4,01-Dec-20,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.83,35
20_3,01-Jan-21,Food Processing,0.73,35
19_2,01-Feb-21,Agro based incl Cold Storages,12.25,35
23_2,01-Feb-21,Engineering,2.76,35
15_2,01-May-21,Food Processing,0.7,35
17_1,01-Aug-21,Others,8.35,35
15_2,01-Sep-21,Wood and Leather,3.28,35
15_2,01-Oct-21,Food Processing,1.1,35
14_3,01-Dec-21,Others,1.07,35
17_3,01-Dec-21,Plastic and Rubber,4.75,35
15_1,01-Dec-21,Engineering,0.63,35
17_1,01-Jan-22,Others,5,35
15_2,01-Feb-22,Others,2.3,35
23_3,01-Apr-22,Plastic and Rubber,2.64,35
14_3,01-Apr-22,Food Processing,4.3,35
19_3,01-Apr-22,"Cement, Cement & Concrete Products, Fly Ash Bricks",1.02,35
20_2,01-May-22,Food Processing,1.05,35
17_2,01-May-22,Paper and Printing,5.81,35
14_5,01-May-22,Food Processing,2.76,35
15_1,01-Jun-22,Pharmaceuticals and Chemicals,1.95,35
18_1,01-Jul-22,Food Processing,1.51,35
17_2,01-Jul-22,Plastic and Rubber,7.05,35
17_3,01-Jul-22,Others,6.13,35
17_3,01-Jul-22,Pharmaceuticals and Chemicals,3.56,35
